,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Irelia,3,3,0,100%,3.33,2.33,7.67,4.71,267.33,8.08,13,392,63.5%,19.2%,20.4%
Azir,2,1,1,50%,2.5,2.5,3.5,2.4,285.5,8.66,12.9,392,48%,20%,20.8%
Qiyana,2,1,1,50%,5,1.5,4,6,258,7.34,14,397,78.3%,43.5%,21.9%
Sylas,2,1,1,50%,2,1.5,2,2.67,269,8.8,11.6,379,47.1%,23.5%,21.8%
Syndra,2,0,2,0%,1,1.5,3,2.67,266.5,8.08,11.2,340,57.1%,14.3%,21.7%
Akali,1,1,0,100%,6,0,4,10,297,7.5,16,403,76.9%,46.2%,21.3%
Lux,1,1,0,100%,3,1,9,12,292,7.91,14.4,390,75%,18.8%,20.7%
Twisted Fate,1,1,0,100%,2,3,5,2.33,208,7.5,11.7,423,58.3%,16.7%,22%
Corki,1,0,1,0%,2,3,1,1,357,9.89,14.9,412,60%,40%,24.8%
Jayce,1,0,1,0%,3,0,3,6,367,9.44,14.6,376,66.7%,33.3%,23.6%
Neeko,1,0,1,0%,0,2,0,0,320,8.56,12.9,344,0%,0%,20.8%
Zed,1,0,1,0%,2,2,0,1,222,7.9,9.6,341,50%,50%,22.6%
